MedicineName,Old price,NewPrice,Quantity,Stars,Rating,Discount,Description
HIMALAYA Gokshura,₹165,₹116,0,4.2,"(25,712)",29% off,"Buy 3 items, save extra 5%"
Dabur Shilajit,₹255,₹172,0,3.6,"(9,236)",32% off,"Buy 3 items, save extra 5%"
Dettol Effective Protection Antiseptic Liquid,₹364,₹250,1000 ml,4.6,"(31,127)",31% off,"Buy 3 items, save extra 5%"
Dettol Effective Protection Antiseptic Liquid,₹214,₹147,550 ml,4.5,"(5,651)",31% off,"Buy 3 items, save extra 5%"
"Dettol Antiseptic Disinfectant liquid for First aid, Su...",₹642,₹452,"550 ml, Pack of 3",4.6,"(1,452)",29% off,"Buy 3 items, save extra 5%"
Dabur Chyawanprash,₹249,₹167,0,4.5,"(79,021)",32% off,#1 Rated
"MOOV Instant Pain Relief Spray - 50 g, Pack of 3 Spray",₹570,₹364,3 x 50 g,4.4,"(10,321)",36% off,#1 Rated
Dabur Chyawanprash Awaleha,0,₹395,0,4.5,"(56,430)",0,#2 Rated
"MOOV Instant Pain Relief Cream Regular - 50 gm, Pack of...",₹557,₹356,3 x 50 g,4.5,"(3,568)",36% off,#2 Rated
Baidyanath Vansaar Isabgol - Psyllium Husk Powder - 100...,₹120,₹69,0,4.4,"(5,208)",42% off,#9 Rated
Gynoveda White Discharge Vaginal Itching Infection Smel...,"₹1,400","₹1,130",0,4.1,(279),19% off,Bank Offer
Galact Granules - Breast Feeding Supplement – Increase ...,₹383,₹276,0,4.4,"(1,368)",27% off,Bank Offer
"Dettol Surface Disinfection 1.5L Kit - Lavender, Lime, ...",₹579,₹277,"1500 ml, Pack of 3",4.4,(170),52% off,Bank Offer
"Dettol Antiseptic Disinfectant liquid for First aid, Su...",₹428,₹294,"1100 ml, Pack of 2",4.5,"(6,623)",31% off,"Buy 3 items, save extra 5%"
Dettol Disinfectant Lime Fresh Antiseptic Liquid,₹193,₹115,500 ml,4.4,"(11,811)",40% off,"Buy 3 items, save extra 5%"
"Dettol Disinfectant Multi-Use Hygiene Liquid, Menthol C...",₹579,₹347,"1500 ml, Pack of 3",4.5,"(12,066)",40% off,"Buy 3 items, save extra 5%"
HIMALAYA Guduchi,₹165,₹92,0,4.4,"(2,068)",44% off,"Buy 3 items, save extra 5%"
Dabur Chyawanprakash,₹415,₹280,900 g,4.5,"(15,153)",32% off,#2 Rated
Kapiva Get Slim Juice | Helps Burn Fat Naturally | Good...,₹549,₹421,0,4,"(15,094)",23% off,"Buy 3 items, save extra 5%"
sanyasi ayurveda Sanyasi Sehat Tablet - Ayurvedic Medic...,₹699,₹599,0,4.1,"(19,742)",14% off,Bank Offer
Dr. Vaidya's Shilajit Gold and Shilajit Oil For Extra P...,₹950,₹584,0,3.9,(305),38% off,Bank Offer
HIMALAYA Neem,₹165,₹116,0,4.3,"(7,255)",29% off,"Buy 3 items, save extra 5%"
"Dettol Multipurpose Disinfectant liquid, Lime Fresh Ant...",₹347,₹193,1000 ml,4.4,"(25,133)",44% off,"Buy 3 items, save extra 5%"
Kapiva Himalayan Shilajit Resin|Rich in Fulvic Acid|For...,"₹1,499",₹749,0,4.1,"(4,154)",50% off,"Buy 3 items, save extra 5%"
ZANDU Chyavanprash Avaleha Jaggery,₹345,₹207,900 g,4.3,(219),40% off,Bank Offer
Dettol Disinfectant Menthol Cool Antiseptic Liquid,₹193,₹100,500 ml,4.4,"(12,872)",48% off,"Buy 3 items, save extra 5%"
Waterbury's Compound A-Provides Quick Relief from Cold ...,₹444,₹225,Pack of 3,4.4,(114),49% off,Bank Offer
Dabur Chyawanprakash Sugarfree,₹235,₹168,0,4.4,"(7,261)",28% off,#7 Rated
Dr. Biswas Good Health Ayurvedic Weight Gain Capsules,₹746,₹223,Pack of 4,4.2,"(3,773)",70% off,Bank Offer
RAJASTHAN HERBALS PAIN NIWARAN CHURNA [AYURVEDIC] (135 ...,₹580,₹245,0,4.3,"(4,625)",57% off,"Buy 3 items, save extra 5%"
"Sensur Natural & Ayurvedic Pain Relief Rub -(30mg, Pack...",₹421,₹159,3 x 30 g,4.5,(73),62% off,Bank Offer
Dr. Vaidya's Herbobuild - Ayurvedic Capsules For Muscle...,₹299,₹119,0,4,"(23,701)",60% off,"Buy 3 items, save extra 5%"
AIMIL BGR-34 tablets | Carbohydrate metaboliser,₹600,₹302,0,4.3,"(2,687)",49% off,"Buy 3 items, save extra 5%"
Kapiva Get Slim Juice| Goodness of 12 Ayurvedic Herbs |...,"₹1,098",₹669,Pack of 2,4,"(15,094)",39% off,Bank Offer
ZANDU Kesari Jivan,₹420,₹302,0,4.4,"(7,224)",28% off,#6 Rated
Dettol Antiseptic Liquid for First Aid & Liquid Disinfe...,₹711,₹611,"1 L, Pack of 2",0,0,14% off,Bank Offer
Dr. Vaidya's Piles care - Ayurvedic Capsules fast Relie...,₹600,₹353,Pack of 2,3.8,"(2,528)",41% off,Bank Offer
Gynoveda Medohar Guggulu Fat Burner Ayurvedic Tablets F...,"₹1,400",₹782,0,4,(71),44% off,"Buy 3 items, save extra 5%"
"Dettol Multi-use Hygiene Liquid, Lime Fresh - 500 ml An...",₹386,₹231,"1000 ml, Pack of 2",4.4,"(19,958)",40% off,"Buy 3 items, save extra 5%"
Dr. Biswas good health 100% ayurvedic capsule original ...,₹899,₹278,Pack of 4,4.2,(800),69% off,Bank Offer
Dr. Vaidya's Shilajit Gold and Shilajit Oil For Extra P...,₹950,₹584,0,3.9,(305),38% off,Bank Offer
Dabur Chyawanprakash,₹415,₹280,900 g,4.5,"(15,153)",32% off,#2 Rated
7 Days Ayurvedic Power Massage Oil for Men,₹599,₹279,0,3.6,(69),53% off,Bank Offer
Dr Chopra Double Power Sanda Oil Pack of 3,₹975,₹151,Pack of 3,5,(5),84% off,Bank Offer
INTIMIFY Sex Timing Increasing Massage Oil For Helps Bo...,₹599,₹183,0,4.1,(29),69% off,Bank Offer
7Herbmaya 9 Inch Long Capsule with Increase Power Oil f...,₹795,₹234,Pack of 2,4.1,(14),70% off,Lowest price since launch
Kapiva Hair Care Juice| For Hair Nourishment from Withi...,"₹1,398",₹753,Pack of 2,4.1,(810),46% off,Bank Offer
Dabur Chyawanprash Awaleha,0,₹395,0,4.5,"(56,430)",0,#2 Rated
INTIMIFY sanda oil for panis growth sanda oil for men l...,₹599,₹200,0,3.2,(13),66% off,Bank Offer
ZANDU Chyavanprash Avaleha Jaggery,₹345,₹207,900 g,4.3,(219),40% off,Bank Offer
Kapiva Amla Juice Pack of 2 | Boosts Skin & Hair Health,₹598,₹339,Pack of 2,4.3,(86),43% off,"Buy 3 items, save extra 5%"
Gynoveda Women 16+ Skin Repair. AMLA Ayurvedic Tablets....,₹700,₹179,0,3.9,(40),74% off,"Buy 3 items, save extra 5%"
Dettol Disinfectant Menthol Cool Antiseptic Liquid,₹193,₹100,500 ml,4.4,"(12,872)",48% off,"Buy 3 items, save extra 5%"
Dr. Biswas Good Health Ayurvedic Weight Gain Capsules,₹746,₹223,Pack of 4,4.2,"(3,773)",70% off,Bank Offer
AIMIL BGR-34 tablets | Carbohydrate metaboliser,₹600,₹302,0,4.3,"(2,687)",49% off,"Buy 3 items, save extra 5%"
RAJASTHAN HERBALS Pain Niwaran Churna (Pack of 4),"₹2,320",₹909,Pack of 4,4.4,(742),60% off,"Buy 3 items, save extra 5%"
Savlon Disinfectant Antiseptic Liquid,₹310,₹138,1 L,4.5,"(30,758)",55% off,"Buy 3 items, save extra 5%"
Kapiva Karela Jamun Juice | Natural Juice made from Fre...,₹349,₹184,0,4.3,"(3,924)",47% off,"Buy 3 items, save extra 5%"
"N2B AYURVEDA Japani oil for men, aroma massage oil for ...","₹1,199",₹180,0,4.4,(8),84% off,Bank Offer
SBL Agnus Castus Q Mother Tincture,₹360,₹224,3 x 30 ml,4.2,(30),37% off,Bank Offer
Gynoveda Medohar Guggulu Fat Burner Ayurvedic Tablets F...,"₹1,400",₹782,0,4,(71),44% off,"Buy 3 items, save extra 5%"
HIMALAYA Guduchi,₹165,₹92,0,4.4,"(2,068)",44% off,"Buy 3 items, save extra 5%"
VITASTA Sunda oil mardo ka gupt malish tel 90 ml,"₹4,497",₹399,Pack of 3,4.5,(18),91% off,Bank Offer
natural ayurveda Mardana taqat capsule for long time st...,"₹1,999",₹262,0,3.6,(21),86% off,Bank Offer
"INTIMIFY Stamina & Power Massage Oil, Sanda Oil for Men...",₹599,₹199,0,4.3,(24),66% off,Bank Offer
Kapiva Get Slim Juice| Goodness of 12 Ayurvedic Herbs |...,"₹1,098",₹669,Pack of 2,4,"(15,094)",39% off,Bank Offer
Kapiva Pure Tulsi Ark (Helps Boost Immunity) - 30 Ml,₹320,₹168,0,4.4,(281),47% off,"Buy 3 items, save extra 5%"
Kapiva Aloe Vera + Wheatgrass Juice Natural Detoxifier ...,₹450,₹244,0,4.3,"(23,833)",45% off,#1 Rated
ZANDU Kesari Jivan,₹420,₹302,0,4.4,"(7,224)",28% off,#6 Rated
Dabur Chyawanprakash Sugarfree,₹235,₹168,0,4.4,"(7,261)",28% off,#7 Rated
Kapiva Noni Juice | Includes Garcinia and Ashwagandha f...,₹649,₹276,0,4.3,"(23,833)",57% off,#1 Rated
Gynoveda Anti Acne Ayurvedic Medicine. Manjistha Blood ...,₹800,₹483,0,4.1,(149),39% off,"Buy 3 items, save extra 5%"
Dettol Antiseptic Liquid for First Aid & Liquid Disinfe...,₹711,₹611,"1 L, Pack of 2",0,0,14% off,Bank Offer
HIMALAYA Shallaki,₹180,₹126,0,4.3,"(3,036)",30% off,"Buy 3 items, save extra 5%"
69 Products Kama Stamina Power Capsule For Men 1sex Pow...,"₹2,800",₹549,0,3.3,(6),80% off,Bank Offer
"VITASTA Ayurvedic capsule for long time stamina,power,S...","₹1,199",₹304,0,4.8,(4),74% off,Bank Offer
Dharmani's International Long Looks,₹498,₹354,0,3.7,"(7,262)",28% off,Bank Offer
Kapiva Digesti Care Juice - Provides Relief From Acidit...,₹549,₹307,0,4,(384),44% off,Bank Offer
Riffway Deep Ride Ayurvedic Capsule Improves Endurance ...,₹999,₹136,0,0,0,86% off,"Buy 3 items, save extra 5%"
inlazer Men Power Pro Shilajit Pills Increases S-E-X Dr...,₹999,₹143,0,3.2,(23),85% off,"Buy 3 items, save extra 5%"
Dr. Vaidya's Shilajit Gold and Shilajit Oil For Extra P...,₹950,₹584,0,3.9,(305),38% off,Bank Offer
